,Vehicle name,year,month,Price,Volume
67,Chevy Cruze,2008,7,19331.0,12778.0
68,Ford Focus Sedan,2010,10,19339.0,15921.0
69,Ford Focus Sedan,2010,5,19374.0,16593.0
70,Focus Hatchback,2010,12,19425.0,10567.0
71,Ford Focus Sedan,2009,12,19430.0,16427.0
72,Ford Focus Sedan,2010,6,19434.0,15710.0
73,Chevy Cruze,2009,4,19436.0,12593.0
74,Chevy Cruze,2009,1,19550.0,12351.0
75,Focus Hatchback,2010,10,19566.0,10578.0
76,Ford Focus Sedan,2009,8,19608.0,16360.0
77,Ford Focus Hatchback,2010,8,19656.0,10454.0
78,Ford Focus Hatchback,2010,9,19683.0,10542.0
79,Chevy Cruze,2008,6,19686.0,12637.0
80,Chevy Cruze,2010,1,19727.0,12296.0
81,Ford Focus Sedan,2009,10,19735.0,16815.0
82,Chevy Cruze,2008,2,19775.0,12072.0
83,Ford Focus Sedan,2008,10,19776.0,15912.0
84,Chevy Cruze,2008,5,19783.0,12737.0
85,Chevy Cruze,2010,2,19788.0,12667.0
86,Chevy Cruze,2009,2,19853.0,13056.0
87,Chevy Cruze,2009,3,19859.0,12539.0
88,Chevy Cruze,2008,8,19879.0,12252.0
89,Focus Hatchback,2010,11,19909.0,9559.0
90,Ford Focus Hatchback,2009,9,19929.0,10881.0
91,Ford Focus Hatchback,2010,7,19932.0,10814.0
92,Ford Focus Sedan,2010,4,19954.0,16155.0
93,Chevy Cruze,2008,4,20041.0,12497.0
94,Ford Focus Hatchback,2009,12,20044.0,10022.0
95,Chevy Cruze,2010,3,20053.0,13144.0
96,Ford Focus Hatchback,2009,11,20106.0,10166.0
97,Ford Focus Sedan,2009,6,20148.0,16372.0
98,Ford Focus Sedan,2009,4,20172.0,15908.0
99,Ford Focus Sedan,2009,5,20240.0,15866.0
100,Ford Focus Hatchback,2010,6,20248.0,11007.0
101,Chevy Cruze,2008,3,20263.0,12409.0
102,Ford Focus Sedan,2009,7,20374.0,15791.0
103,Ford Focus Sedan,2009,1,20382.0,16029.0
104,Ford Focus Sedan,2008,5,20448.0,15553.0
105,Ford Focus Sedan,2009,3,20502.0,15990.0
106,Ford Focus Sedan,2008,1,20507.0,15384.0
107,Focus Hatchback,2008,11,20540.0,10000.0
108,Ford Focus Hatchback,2009,8,20549.0,10529.0
109,Ford Focus Sedan,2010,2,20559.0,15330.0
110,Ford Focus Hatchback,2010,5,20703.0,9963.0
111,Focus Hatchback,2008,8,21525.0,9773.0
112,Focus Hatchback,2008,1,21600.0,9863.0
113,Ford Focus Hatchback,2009,1,21754.0,10121.0
114,Focus Hatchback,2008,4,21872.0,10369.0
115,Ford Focus Hatchback,2009,2,22021.0,10297.0
116,Ford Focus Hatchback,2010,3,22114.0,10185.0
117,Focus Hatchback,2008,3,22124.0,9694.0
118,Ford Focus Hatchback,2010,1,22330.0,10763.0
119,Focus Hatchback,2008,2,22367.0,10076.0
120,Focus Hatchback,2008,7,,9864.0
121,Focus Hatchback,2008,12,20750.0,10207.0
122,Ford Focus Sedan,2010,3,20782.0,16572.0
123,Focus Hatchback,2008,9,20809.0,9845.0
124,Ford Focus Sedan,2008,4,20832.0,16322.0
125,Ford Focus Sedan,2008,8,20858.0,16168.0
126,Ford Focus Sedan,2008,6,20867.0,15731.0
127,Ford Focus Hatchback,2009,6,20870.0,10938.0
128,Ford Focus Hatchback,2009,10,20976.0,9719.0
129,Ford Focus Hatchback,2010,4,21045.0,11023.0
130,Focus Hatchback,2008,10,21097.0,10784.0
131,Ford Focus Hatchback,2009,4,21147.0,10242.0
132,Ford Focus Hatchback,2009,5,21163.0,10232.0
133,Ford Focus Sedan,2009,2,21164.0,16134.0
134,Ford Focus Sedan,2008,3,21261.0,16322.0
135,Ford Focus Hatchback,2009,3,21267.0,9846.0
136,Ford Focus Sedan,2008,7,21275.0,15208.0
137,Ford Focus Sedan,2010,1,21339.0,15185.0
138,Focus Hatchback,2008,6,21359.0,9609.0
139,Ford Focus Hatchback,2009,7,21398.0,9918.0
140,Ford Focus Sedan,2008,2,21403.0,15382.0
141,Focus Hatchback,2008,5,21467.0,9805.0
142,Ford Focus Hatchback,2010,2,21516.0,
